label,text
-1,i wish incubus or sonsofthesea would have been on the coachella lineup
0,eric this is hilareous haha thatericalper this faux coachella lineup from coachella coachella
-1,gotta get my abs back for coachella but i love eating and sleeping way too much
-1,i hope it rains during drakes coachella set so everyone can talk about how they bathed in drakes tears coachella
1,omg the coachella lineup soexcited
1,the line up is out which mean time to get my body coachella ready
1,the coachella line up has arrived and it has made me even more excited to attend coachella
1,yeah perfumegenius at coachella lt
1,i have coachella mom anxiety hoping to get tix for my kids at noon today
0,legged dirt bike coachella
1,i really want to go to coachella now coachella
1,acdc steely dan interpol and bad religion not bad coachella still not gonna pay
1,ashleytoledo priscyflamenco coachella lineup looks fucking awesome girl yes im tryna see my baby drake same and the weeknd
1,rt kimkanyekimyefc coachella imma let you finish but kanyewest had one of the best sets of all time good luck to the line up tho
1,fkatwigs and stromae are only the tip of the iceberg coachella
1,rt danatatum so to maddies mom the festival mvp for booking the room and getting our tickets to coachella round
1,rt fannahischer killing myself bc i didnt ask for coachella tickets for christmas swiftswank
1,by now wutang clan has been split into so many pieces that getting them back together its like getting all the dragon balls coachella
1,lets go to coachella
0,coachella still not sure if i am going to buy tickets coachella coachellalineup
1,take me to coachella pleaseeee
1,rt njacksonjourno the year i cross seeing steely dan on molly off my bucket list coachella
1,onlyinbos acdc jack white amp drake headline coachella this lineup fucking kills me fuckfinals
1,its official its about to go down coachella
1,rt being to broke for coachella coachella going on forever
1,rt kfredddd so happy i got my ticket presale bc that lineup coachella
0,i wouldnt see jack white and drake if they were playing at the down the streets from my house coachella
0,why is everyone talking about coachella all of sudden coachella
0,rt mrdavidangelo what yearold doesnt want their mushroom trip to include a grandfather screaming hells bells coachella
1,oh my god georgeezra is playing coachella yessssssss i cant go bot omg yay that is so exciting lt lt coachella
1,lights congrats for making it on the lineup coachella
1,rt robbeasth coachella lineup is insane coachella
1,can officially start the countdown to the best weekend of the year coachella
-1,maybe my real beef with the coachella lineup is that nobody can read the poster and its the same format every year
1,thebadsuns keysnkrates these are my feelings right now wrapped up into one coachella
1,rt cleanbandit were playing at coachella this year could not be more excited coachella
1,coachella line up is but a dream want to go so damn bad coachella
1,wow bottlerocknapa has a much better line up than coachella this year i know which one i will be at
1,not bad at all coachella
0,drake theweeknd acdc all part of coachella who else
1,steely dan drake sbtrkt toro y moi acdc flying lotus florence machine and alabama shakes alone got me hype coachella
0,hows about that coachella lineup
0,ehh rt freeconcerts thoughts on the coachella lineup
1,drake april coachella
1,take me coachella birthdaypresent
1,so no one ask me to hang out or do any fun things w them that require money until summer bc coachella just left me brokeaf
1,in one hour coachella tix are on sale whos paying for mine
0,whos down to go to coachella
1,coachella see you there sirangusblair reunion
1,rt wordkrush wk coachella the line up via wordkrush coachella coachella festival music
1,im trynna break my coachella virginity coachella
0,omg that coachella lineup tho unreal
1,the coachella lineup is out hm during my birthday again would make a sweet birthday gift via mashable
1,one day i will attend coachella coachella thatlineup
1,omg i honestly cannot read the coachella line up but i see bae djsnake on there so i trust its a good lineup amp i wanna go
0,ive been on the searching for tickets page for a whole hour coachella
0,my perfect coachella line up fifthharmony coachella coachella
0,when you hear the lineup for coachella coachella
1,when you and juliiibrooo are going to coachella in april never been more happy coachella
1,i want to go to coachella but have no way of getting there or buying tickets sad
0,wheres geazy tho coachella
1,only if coachella
1,i would do anything to go to coachella
0,drake is performing on my birthday this year at coachella
1,photo in honor of the coachella line up dropping im praying ill be back out there this year with
0,coachella lineup announced and i just received an email for cheap flights to la meanttobe lol
0,well the coachella lineup looks incredibly mediocre
1,somebody go with me to coachella this year that lineup is the sickest coachella
